site_code,project_code,project_title,title,short_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0000008,J00007,Katanning Gold,Jinkas - Central Zone,Jinkas,Deposit,Unspecified,Undeveloped,Gold,Precious Metal,Great Southern,Shire Of Katanning,117.908152,-33.543356,Y
S0000033,J00017,Cue Gold - Central Murchison,Big Bell Underground,Big Bell UG,Mine,Decline,Operating,Gold,Precious Metal,Mid-West,Shire Of Cue,117.655367,-27.318646,Y
S0000053,J02851,Boorara / Horizon,Boorara Open Pit - Southern Stockworks,Southern Stockworks,Mine,Openpit,Care And Maintenance,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.644094,-30.809280,Y
S0000137,J00075,Cork Tree Well - Delta,Cork Tree Well,Cork Tree Well,Mine,Openpit,Shut,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,122.404413,-28.338636,Y
S0000247,J00126,Blue Spec / Novo,Blue Spec / Novo,Blue Spec,Mine,Shaft,Proposed,Gold,Precious Metal,Pilbara,Shire Of East Pilbara,120.273032,-21.820903,Y
S0000258,J04956,Goongarrie Lady,Goongarrie Lady,Goongarrie Lady,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,121.184491,-30.081341,Y
S0000352,J00170,Jeffreys Find,Jeffreys Find,Jeffreys,Mine,Openpit,Care And Maintenance,Gold,Precious Metal,Goldfields-Esperance,Shire Of Dundas,122.151147,-31.946420,Y
S0000357,J00256,Mt Morgans,Jupiter - Joanne - Doublejay,Jupiter,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,122.219297,-28.807175,Y
S0000404,J01338,Phillips Find,Newhaven,Newhaven,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Coolgardie,120.965996,-30.612844,Y
S0000426,J01616,Ironstone Well,Flushing Meadows,Flushing Meadows,Deposit,Unspecified,Undeveloped,Gold,Precious Metal,Mid-West,Shire Of Wiluna,120.781908,-26.840597,Y
S0000584,J00270,Malcolm Challenger Gold - Murrin Murrin,Malcolm,Malcolm,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Leonora,121.817764,-28.899707,Y
S0000671,J00094,Porphyry - Northern Operations,Million Dollar North,Million Dollar North,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,122.285985,-29.799041,Y
S0000689,J00084,Davyhurst - Lady Ida - Mulline - Riverina - Siberia Gold,Riverina Underground,Riverina UG,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,120.564810,-29.744010,Y
S0000709,J02325,Linden Gold,Second Fortune,Second Fortune,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,122.435829,-29.376492,Y
S0000732,J00338,Telfer / Greatland Resources,Telfer Main Dome,Main Dome,Mine,Openpit,Operating,Gold,Precious Metal,Pilbara,Shire Of East Pilbara,122.207128,-21.719551,Y
S0000770,J00357,Edna May - Westonia,Edna May - Westonia,Edna May,Mine,Openpit,Care And Maintenance,Gold,Precious Metal,Wheatbelt,Shire Of Westonia,118.698549,-31.290245,Y
S0000793,J00367,Youanmi Gold - OYG,Youanmi Deeps,Youanmi Deeps,Mine,Decline,Shut,Gold,Precious Metal,Mid-West,Shire Of Sandstone,118.839978,-28.610085,Y
S0000811,J00424,Anglo Saxon - Trouser Legs,Anglo Saxon - Trouser Legs,Anglo Saxon,Mine,Openpit,Care And Maintenance,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,122.731489,-30.076767,Y
S0000849,J00014,Coolgardie Gold / Focus,Greenfields Openpit,Greenfields Pit,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Coolgardie,121.200923,-30.932811,Y
S0000866,J00191,Ravensthorpe Gold,Harbour View,Harbour View,Mine,Decline,Proposed,Gold,Precious Metal,Goldfields-Esperance,Shire Of Ravensthorpe,120.196414,-33.681787,Y
S0000933,J04770,Bellevue,Bellevue Underground,Bellevue UG,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Leonora,120.557630,-27.636059,Y
S0001007,J00026,Boddington Gold,Wandoo South,Wandoo S,Mine,Openpit,Operating,Gold,Precious Metal,Peel,Shire Of Boddington,116.357530,-32.753064,Y
S0001112,J00028,Bottle Creek,Emu - Bottle Creek,Emu,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,120.446810,-29.154026,Y
S0001161,J04814,Mungari / Evolution,Rayjax,Rayjax,Mine,Openpit,Care And Maintenance,Gold,Precious Metal,Goldfields-Esperance,Shire Of Coolgardie,121.125901,-30.762610,Y
S0001172,J00446,Sino - Cape Preston Iron,George Palmer Pit,George Palmer,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,City Of Karratha,116.141306,-21.081327,Y
S0001178,J00452,Silver Swan - Black Swan,Black Swan - Gosling,Black Swan,Mine,Openpit,Proposed,Nickel,Steel Alloy Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.648884,-30.393485,Y
S0001224,J00484,Robe River - Deepdale,"Deepdale Mesa J Pits 1-12, J Extended",Deepdale J,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,Shire Of Ashburton,116.247364,-21.751424,Y
S0001244,J00514,Eneabba / Iluka,Narngulu Dry Plant / Iluka,Narngulu Dry Plant/Iluka,Infrastructure,Processing Plant,Operating,Heavy Mineral Sands,Speciality Metal,Mid-West,City Of Greater Geraldton,114.678112,-28.817627,Y
S0001256,J00527,Golden Grove,Gossan Hill Portal,Gossan Hill U/G,Mine,Decline,Operating,Copper - Lead - Zinc,Base Metal,Mid-West,Shire Of Yalgoo,116.962417,-28.765074,Y
S0001288,J02628,Kambalda / Mincor,Durkin North,Durkin N,Mine,Decline,Care And Maintenance,Nickel,Steel Alloy Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.661211,-31.164036,Y
S0001346,J00573,Jimblebar-Wheelarra-Hashimoto / BHPB,Wheelarra 4,Wheelarra 4,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,120.137110,-23.380316,Y
S0001357,J00711,Whim Creek - Mons Cupri,Mons Cupri Oxide,Mons Cupri Ox,Mine,Openpit,Care And Maintenance,Copper - Lead - Zinc,Base Metal,Pilbara,City Of Karratha,117.808033,-20.881539,Y
S0001402,J00623,Newman / BHPB,Mt Whaleback,Mt Whaleback,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,119.675410,-23.365347,Y
S0001443,J00657,Salt Creek,Salt Creek,Salt Creek,Deposit,Unspecified,Undeveloped,Copper - Lead - Zinc,Base Metal,Pilbara,City Of Karratha,117.704508,-20.757098,Y
S0001459,J00673,Sorby Hills,Sorby Pod D-E,Pod E,Mine,Openpit,Proposed,Copper - Lead - Zinc,Base Metal,Kimberley,Shire Of Wyndham-East Kimberley,128.980883,-15.452699,Y
S0001462,J00676,Southdown Magnetite,Southdown,Southdown,Mine,Openpit,Proposed,Iron Ore,Iron,Great Southern,City Of Albany,118.521038,-34.542796,Y
S0001467,J00677,Spargoville Nickel,Spargoville 5A,Spargoville 5A,Mine,Openpit,Proposed,Nickel,Steel Alloy Metal,Goldfields-Esperance,Shire Of Coolgardie,121.506415,-31.353794,Y
S0001488,J01034,Bunbury Area Operations / Tronox,Wonnerup North,Wonnerup North,Mine,Openpit,Operating,Heavy Mineral Sands,Speciality Metal,South West,City Of Busselton,115.474053,-33.646695,Y
S0001506,J00717,Wingellina,Wingellina - Claude Hills,Wingellina,Mine,Unspecified,Proposed,Nickel,Steel Alloy Metal,Goldfields-Esperance,Shire Of Ngaanyatjarraku,128.939310,-26.039626,Y
S0001538,J00545,Abra - Mulgul,Abra Underground,Abra UG,Mine,Decline,Operating,Copper - Lead - Zinc,Base Metal,Mid-West,Shire Of Meekatharra,118.585522,-24.638199,Y
S0001567,J00485,Cooljarloo / Tronox,Chandala - Muchea Synthetic Rutile Plant (SR),Chandala SR Plant,Infrastructure,Processing Plant,Operating,Heavy Mineral Sands,Speciality Metal,Wheatbelt,Shire Of Chittering,115.966238,-31.531753,Y
