site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0001709,J00772,Mt Weld REE / Lynas,Mine,Openpit,Operating,RARE EARTHS,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.547575,-28.863966,Y
S0224441,J03488,Karlawinda Gold,Mine,Openpit,Operating,GOLD,Precious metal,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",120.095899,-23.765131,Y
S0236255,J05002,Beyondie Potash / Kalium Lakes,Infrastructure,Pond,Care And Maintenance,POTASH,Industrial mineral,"MID-WEST, Development Region","WILUNA, SHIRE OF",120.353831,-24.752342,Y
S0246046,J03488,Karlawinda Gold,Infrastructure,Power Plant,Operating,GOLD,Precious metal,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",120.111915,-23.767332,Y
S0229741,J02247,Cosmos,Mine,Decline,Care And Maintenance,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.575885,-27.596959,Y
S0019084,J00098,Agnew - Emu,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.505808,-28.004485,Y
S0021076,J02867,Seven Mile Hill / Boral,Mine,Openpit,Operating,CONSTRUCTION MATERIALS,Construction material,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.378288,-30.846275,Y
S0239301,J00098,Agnew - Emu,Infrastructure,Other,Operating,OTHER,Energy,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.512465,-27.99518,Y
S0001723,J00775,Yangibana / Hastings,Mine,Openpit,Proposed,RARE EARTHS,Speciality metal,"GASCOYNE, Development Region","UPPER GASCOYNE, SHIRE OF",116.295932,-23.906067,Y
S0223791,J00446,Sino - Cape Preston Iron,Infrastructure,Power Plant,Operating,OTHER,Energy,"PILBARA, Development Region","KARRATHA, CITY OF",116.15928,-21.07622,Y
S0224380,J03682,Iron Valley,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.312624,-22.7317,Y
S0224496,J03830,Buckland - Bungaroo South,Mine,Openpit,Proposed,IRON ORE,Iron,"PILBARA, Development Region","ASHBURTON, SHIRE OF",116.523841,-22.010628,Y
S0229860,J00623,Newman / BHPB,Infrastructure,Power Plant,Operating,OTHER,Energy,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",119.710194,-23.343145,Y
S0235993,J02889,Roy Hill Iron Ore,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","EAST PILBARA, SHIRE OF",120.01153,-22.557201,Y
S0001172,J00446,Sino - Cape Preston Iron,Mine,Openpit,Operating,IRON ORE,Iron,"PILBARA, Development Region","KARRATHA, CITY OF",116.141306,-21.081327,Y
