SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,SYMBOL_STATUS,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0001709,CLD,Central Lanthanide (CLD),Mine,Openpit,Operating,J00772,Mt Weld REE / Lynas,122.547575,-28.863966,455876,6807002,51,REE Ce La Nd Sm Gd Eu Y Pr Dy Tb Er Ho Tm Yb Nb Th Ta Lu Sc,Speciality metal,RARE EARTHS,Mt Weld REE,Y,REE Ce La Nd Sm Gd Eu Y Pr Dy Tb Er Ho Tm Yb Nb Th Ta Lu Sc,Y,SPME,O,Major Projects,Public,3440,BURTVILLE,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Large igneous provinces and dyke swarms,20260515
S0224441,Bibra,Bibra,Mine,Openpit,Operating,J03488,Karlawinda Gold,120.095899,-23.765131,204001,7368752,51,Au Ag,Precious metal,GOLD,Karlawinda,N,,Y,PRME,O,Major Projects,Public,2950,MUNDIWINDI,SF51-13,ROBERTSON,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Collier Basin,20260515
S0236255,Beyondie Trial Evaporation Ponds,Beyondie Trial Evaporation Ponds,Infrastructure,Pond,Care and Maintenance,J05002,Beyondie Potash / Kalium Lakes,120.353831,-24.752342,232380,7259886,51,K K2SO4,Industrial mineral,POTASH,Beyondie Potash K,Y,K K2SO4,Y,INMI,C,Major Projects,Public,2948,BEYONDIE,SG51-01,BULLEN,"WILUNA, SHIRE OF","MID-WEST, Development Region",69,WARBURTON M.F.,Collier Basin,20260515
S0246046,Power Plant,Karlawinda Power Plant,Infrastructure,Power Plant,Operating,J03488,Karlawinda Gold,120.111915,-23.767332,205639,7368541,51,Au Ag,Precious metal,GOLD,Karlawinda Power Plant,N,,Y,ENPL,O,Major Projects,Public,2950,MUNDIWINDI,SF51-13,ROBERTSON,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Collier Basin,20260515
S0229741,Odysseus South,Odysseus South,Mine,Decline,Care and Maintenance,J02247,Cosmos,120.575885,-27.596959,260733,6945098,51,Ni Cu Co Pt Pd,Steel alloy metal,NICKEL,Cosmos Ni Cu Co PGE,Y,Ni Cu Co Pt Pd,Y,STAM,C,Major Projects,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Yilgarn Craton,20260515
S0019084,Waroonga Underground,Waroonga Underground,Mine,Decline,Operating,J00098,Agnew - Emu,120.505808,-28.004485,254731,6899793,51,Au Ag,Precious metal,GOLD,Agnew,N,,Y,PRME,O,Major Projects,Public,3041,WILDARA,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Yilgarn Craton,20260515
S0021076,Seven Mile Hill/Boral,Seven Mile Hill / Boral,Mine,Openpit,Operating,J02867,Seven Mile Hill / Boral,121.378288,-30.846275,344924,6586309,51,Agg Gran,Construction material,CONSTRUCTION MATERIALS,Seven Mile Hill,N,,Y,COMA,O,Major Projects,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Yilgarn Craton,20260515
S0239301,Solar Farm,Agnew - Waroonga Solar Farm,Infrastructure,Other,Operating,J00098,Agnew - Emu,120.512465,-27.99518,255365,6900838,51,Power,Energy,OTHER,Agnew Solar Farm,N,,Y,ENPL,O,Major Projects,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Yilgarn Craton,20260515
S0001723,Bald Hill South,Bald Hill South - Yangibana,Mine,Openpit,Proposed,J00775,Yangibana / Hastings,116.295932,-23.906067,428335,7355995,50,REE Nd Pr Dy Eu Nb,Speciality metal,RARE EARTHS,Yangibana REE,Y,REE Nd Pr Dy Eu Nb,Y,SPME,P,Major Projects,Public,2150,EDMUND,SF50-14,EDMUND,"UPPER GASCOYNE, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Province,20260515
S0223791,Power,George Palmer Power Station and Gas Pipeline,Infrastructure,Power Plant,Operating,J00446,Sino - Cape Preston Iron,116.15928,-21.07622,412667,7669186,50,Power NaturalGas,Energy,OTHER,George Palmer Power,N,,Y,ENPL,O,Major Projects,Public,2155,FORTESCUE,SF50-06,YARRALOOLA,"KARRATHA, CITY OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20260515
